#OTU ID,MAST-1D,MAST-8,MAST-7,Pavlovophyceae,Vp5virus,Codosigidae,Dolichomastigaceae,Pycnococcaceae,Stephanoecidae,Prasinococcaceae,Bpp1virus,P70virus,P12002virus,Slashvirus,Nephroselmidales,Ceratiaceae,M12virus,Syndiniales_Group_III,Thoracosphaeraceae,Thraustochytriaceae,Salpingoecidae,MAST-11,Cba41virus,P12024virus,Picomonadida,Capsasporidae,Chlorarachniaceae,Lambdavirus,MAST-7D,Centrohelida,Thecofilosea,Cymatosiraceae,Gymnodinium_clade,Picozoa,Picomonadidae,Marimonadida,Prymnesiophyceae,MAST-7B,MAST-4,Gymnodiniphycidae,Bacillariophyceae,Novel_Clade_2,Thaumatomonadida,Prymnesiales,Protaspidae,Chrysochromulinaceae,Chroomonadaceae,Chlorarachniophyta,Kareniaceae,Rhizosolenids,T4virus,Trebouxiophyceae,Syndiniales_Group_I,Mamiellaceae,Syndiniales_Group_II,Syndiniales,Mediophyceae
Chrysochromulinaceae,0.1768,0.8081,0.8001,0.166,0.9399,0.2126,0.215,0.2548,0.836,0.2089,0.1529,0.2089,0.2201,0.2078,0.2338,0.2078,0.7523,0.2499,0.1571,0.2078,0.1998,0.2778,0.2749,0.219,0.8666,0.2068,0.2379,0.2978,0.2568,0.2348,0.9722,0.3128,0.2709,0.3288,0.9179,0.2699,0.2558,0.2429,0.3308,0.2229,0.3228,0.3158,0.2509,0.3248,0.2499,1,0.9664,0.9453,0.6684,0.2568,0.8004,0.8204,0.5196,0.3288,0.3238,0.9074,0.3008
Chroomonadaceae,0.4926,0.1237,0.2801,0.5895,0.8246,0.7803,0.9722,0.7354,0.1978,0.9722,0.6125,0.4946,0.3871,0.6414,0.9274,0.8172,0.3447,0.9472,0.6654,0.7543,0.4636,0.9628,0.5565,0.4157,0.6005,0.5705,0.7414,0.9141,0.4856,0.5555,0.4267,0.8389,0.8452,0.9722,0.3447,0.4576,0.6595,0.4217,0.9212,0.8962,0.6684,0.7174,0.5506,0.1891,0.5086,0.9664,1,0.4007,0.3508,0.6015,0.5575,0.4506,0.6664,0.6804,0.6125,0.5156,0.7734
Chlorarachniophyta,0.6814,0.184,0.3429,0.1718,0.6035,0.3704,0.5355,0.7054,0.4187,0.5216,0.1497,0.9719,0.1651,0.2598,0.9166,0.3607,0.0346,0.5845,0.8709,0.8399,0.1508,0.6245,0.219,0.2109,0.3488,0.1891,0.3997,0.7593,0.2338,0.9692,0.1591,0.4147,0.3827,0.7233,0.2099,0.2578,0.5575,0.1949,0.5206,0.4397,0.3377,0.4137,0.2268,0.9482,0.2028,0.9453,0.4007,1,0.3887,0.3417,0.3777,0.1747,0.5046,0.3498,0.3218,0.2249,0.4187
Kareniaceae,0.5925,0.2679,0.2945,0.5885,0.7474,0.6979,0.7434,0.7394,0.7354,0.8204,0.5965,0.8778,0.3348,0.6215,0.4626,0.7283,0.7903,0.8151,0.8913,0.9453,0.3467,0.9085,0.836,0.3488,0.6654,0.5306,0.4057,0.4327,0.3887,0.882,0.5236,0.6744,0.6934,0.8172,0.3817,0.4117,0.3777,0.3747,0.8172,0.7263,0.6095,0.6035,0.5565,0.3857,0.5236,0.6684,0.3508,0.3887,1,0.3817,0.5775,0.5056,0.6565,0.4197,0.4307,0.5076,0.6375
Rhizosolenids,0.4626,0.3467,0.6084,0.1372,0.5076,0.2932,0.3737,0.4596,0.5466,0.3727,0.1497,0.8951,0.2378,0.2798,0.7674,0.3048,0.3508,0.4377,0.6934,0.7194,0.1978,0.4337,0.2998,0.1175,0.2719,0.1891,0.3208,0.2399,0.2258,0.7995,0.2338,0.3787,0.3797,0.5995,0.3548,0.2318,0.3837,0.2469,0.4277,0.3627,0.2828,0.3488,0.2328,0.9011,0.2249,0.2568,0.6015,0.3417,0.3817,1,0.3417,0.2449,0.4606,0.3038,0.3148,0.2538,0.2679
T4virus,0.7573,0.7224,0.8887,0.2808,0.6535,0.9444,0.5645,0.5156,0.6155,0.6555,0.2658,0.9722,0.3663,0.3128,0.3907,0.5406,0.7975,0.5845,0.7934,0.6894,0.2988,0.3777,0.3697,0.3088,0.3877,0.3138,0.3518,0.3348,0.3447,0.8341,0.2998,0.8151,0.4726,0.6694,0.3138,0.4027,0.3747,0.3198,0.4187,0.5076,0.3617,0.3757,0.3328,0.3887,0.3238,0.8004,0.5575,0.3777,0.5775,0.3417,1,0.3318,0.5545,0.3927,0.3857,0.3068,0.4037
Trebouxiophyceae,0.6525,0.2658,0.3297,0.1323,0.2689,0.2775,0.3697,0.3078,0.4367,0.3977,0.0991,0.8974,0.1479,0.1708,0.3068,0.2429,0.0874,0.4936,0.7374,0.6684,0.0991,0.8848,0.215,0.1708,0.3018,0.155,0.1428,0.2739,0.1343,0.8778,0.1156,0.2648,0.3078,0.4796,0.1988,0.2338,0.1487,0.1418,0.4456,0.3348,0.2219,0.194,0.1829,0.4986,0.1292,0.8204,0.4506,0.1747,0.5056,0.2449,0.3318,1,0.4237,0.2089,0.2229,0.14,0.3377
Syndiniales_Group_I,0.6764,0.4746,0.4837,0.4047,0.5875,0.4893,0.5735,0.6714,0.6255,0.5385,0.4437,0.8593,0.4459,0.4476,0.6504,0.4866,0.3757,0.5795,0.7184,0.7513,0.4466,0.7424,0.9423,0.4616,0.5076,0.4237,0.4646,0.5156,0.4666,0.8004,0.4447,0.5116,0.5106,0.6265,0.5096,0.4966,0.4676,0.4706,0.5775,0.5406,0.5036,0.4806,0.4546,0.8557,0.4377,0.5196,0.6664,0.5046,0.6565,0.4606,0.5545,0.4237,1,0.4666,0.4726,0.4456,0.5096
Mamiellaceae,0.7503,0.3568,0.6932,0.2759,0.215,0.6124,0.3917,0.184,0.7783,0.4227,0.2938,0.7454,0.2865,0.1728,0.3258,0.1602,0.0737,0.6784,0.5715,0.5555,0.5526,0.5426,0.4247,0.2898,0.3477,0.2089,0.3558,0.2729,0.3667,0.6974,0.2089,0.3068,0.2788,0.3148,0.3697,0.4067,0.4367,0.2268,0.4157,0.2129,0.2768,0.2928,0.2399,0.6595,0.2368,0.3288,0.6804,0.3498,0.4197,0.3038,0.3927,0.2089,0.4666,1,0.2788,0.2479,0.3617
Syndiniales_Group_II,0.7852,0.3228,0.6948,0.1391,0.5016,0.3132,0.4027,0.7753,0.6315,0.4027,0.1959,0.8778,0.2136,0.218,0.8619,0.3867,0.0833,0.4866,0.6605,0.6704,0.2838,0.4417,0.2518,0.2988,0.3218,0.187,0.3717,0.5186,0.2518,0.8062,0.214,0.3607,0.3697,0.3198,0.3707,0.3138,0.2058,0.3528,0.4796,0.2998,0.2908,0.3238,0.2099,0.8151,0.2328,0.3238,0.6125,0.3218,0.4307,0.3148,0.3857,0.2229,0.4726,0.2788,1,0.2538,0.3397
Syndiniales,0.6484,0.2379,0.3089,0.1428,0.3538,0.2865,0.4137,0.3917,0.4646,0.3877,0.1147,0.8848,0.1884,0.2219,0.3627,0.3138,0.0979,0.4886,0.7094,0.6575,0.3597,0.836,0.2209,0.2078,0.3078,0.1175,0.1757,0.2858,0.1539,0.8839,0.1457,0.3467,0.3268,0.5406,0.2249,0.2568,0.1447,0.9722,0.4067,0.3777,0.2518,0.2898,0.1747,0.8557,0.1418,0.9074,0.5156,0.2249,0.5076,0.2538,0.3068,0.14,0.4456,0.2479,0.2538,1,0.3367
Mediophyceae,0.6355,0.4017,0.4849,0.112,0.2828,0.2696,0.3348,0.4297,0.6494,0.3058,0.1409,0.7303,0.2687,0.1778,0.6984,0.2449,0.2998,0.3358,0.5385,0.5865,0.2958,0.4726,0.2778,0.2878,0.3367,0.2089,0.2878,0.7783,0.3078,0.6394,0.3158,0.3477,0.3268,0.3128,0.5056,0.3278,0.3578,0.3508,0.4417,0.3348,0.2828,0.3427,0.2658,0.7034,0.3228,0.3008,0.7734,0.4187,0.6375,0.2679,0.4037,0.3377,0.5096,0.3617,0.3397,0.3367,1
